Datum_formiranja;Datum_Primene;Vazi_za;Srednji_kurs
 22.03.2007.; 22.03.2007.;1; 80,7998
 23.03.2007.; 23.03.2007.;1; 80,8025
 23.03.2007.; 24.03.2007.;1; 80,8025
 23.03.2007.; 25.03.2007.;1; 80,8025
 26.03.2007.; 26.03.2007.;1; 80,8563
 27.03.2007.; 27.03.2007.;1; 80,9012
 28.03.2007.; 28.03.2007.;1; 80,9261
 29.03.2007.; 29.03.2007.;1; 81,2365
 30.03.2007.; 30.03.2007.;1; 81,5742
 30.03.2007.; 31.03.2007.;1; 81,5742
 30.03.2007.; 01.04.2007.;1; 81,5742
 02.04.2007.; 02.04.2007.;1; 80,9194
 03.04.2007.; 03.04.2007.;1; 80,3784
 04.04.2007.; 04.04.2007.;1; 80,0208
 05.04.2007.; 05.04.2007.;1; 79,6556
 05.04.2007.; 06.04.2007.;1; 79,6556
 05.04.2007.; 07.04.2007.;1; 79,6556
 05.04.2007.; 08.04.2007.;1; 79,6556
 05.04.2007.; 09.04.2007.;1; 79,6556
 10.04.2007.; 10.04.2007.;1; 79,5927
 11.04.2007.; 11.04.2007.;1; 79,5807
 12.04.2007.; 12.04.2007.;1; 79,8263
 13.04.2007.; 13.04.2007.;1; 80,6049
 13.04.2007.; 14.04.2007.;1; 80,6049
 13.04.2007.; 15.04.2007.;1; 80,6049
 16.04.2007.; 16.04.2007.;1; 80,9664
 17.04.2007.; 17.04.2007.;1; 80,8914
 18.04.2007.; 18.04.2007.;1; 81,3498
 19.04.2007.; 19.04.2007.;1; 81,3790
 20.04.2007.; 20.04.2007.;1; 81,1021
 20.04.2007.; 21.04.2007.;1; 81,1021
 20.04.2007.; 22.04.2007.;1; 81,1021
 23.04.2007.; 23.04.2007.;1; 80,4905
 24.04.2007.; 24.04.2007.;1; 80,7733
 25.04.2007.; 25.04.2007.;1; 81,0301
